image,label,fold
/home/fang/Square_Task/squares/train/b/213.png,1,0
/home/fang/Square_Task/squares/train/a/344.png,0,1
/home/fang/Square_Task/squares/train/c/108.jpg,2,2
/home/fang/Square_Task/squares/train/c/46.bmp,2,3
/home/fang/Square_Task/squares/train/c/225.jpg,2,0
/home/fang/Square_Task/squares/train/b/447.bmp,1,1
/home/fang/Square_Task/squares/train/a/297.png,0,2
/home/fang/Square_Task/squares/train/c/414.png,2,3
/home/fang/Square_Task/squares/train/c/337.bmp,2,0
/home/fang/Square_Task/squares/train/c/408.png,2,1
/home/fang/Square_Task/squares/train/c/8.png,2,2
/home/fang/Square_Task/squares/train/b/456.jpg,1,3
/home/fang/Square_Task/squares/train/a/487.bmp,0,0
/home/fang/Square_Task/squares/train/b/202.bmp,1,1
/home/fang/Square_Task/squares/train/c/235.png,2,2
/home/fang/Square_Task/squares/train/a/135.bmp,0,3
/home/fang/Square_Task/squares/train/c/116.jpg,2,0
/home/fang/Square_Task/squares/train/b/81.jpg,1,1
/home/fang/Square_Task/squares/train/b/194.jpg,1,2
/home/fang/Square_Task/squares/train/a/46.bmp,0,3
/home/fang/Square_Task/squares/train/b/310.jpg,1,0
/home/fang/Square_Task/squares/train/b/338.bmp,1,1
/home/fang/Square_Task/squares/train/b/113.jpg,1,2
/home/fang/Square_Task/squares/train/c/150.bmp,2,3
/home/fang/Square_Task/squares/train/b/166.jpg,1,0
/home/fang/Square_Task/squares/train/c/185.png,2,1
/home/fang/Square_Task/squares/train/c/26.jpg,2,2
/home/fang/Square_Task/squares/train/b/273.jpg,1,3
/home/fang/Square_Task/squares/train/c/441.png,2,0
/home/fang/Square_Task/squares/train/b/94.bmp,1,1
/home/fang/Square_Task/squares/train/c/315.png,2,2
/home/fang/Square_Task/squares/train/b/384.png,1,3
/home/fang/Square_Task/squares/train/c/367.png,2,0
/home/fang/Square_Task/squares/train/c/461.png,2,1
/home/fang/Square_Task/squares/train/c/352.jpg,2,2
/home/fang/Square_Task/squares/train/b/77.bmp,1,3
/home/fang/Square_Task/squares/train/b/358.png,1,0
/home/fang/Square_Task/squares/train/c/413.bmp,2,1
/home/fang/Square_Task/squares/train/a/2.bmp,0,2
/home/fang/Square_Task/squares/train/c/49.bmp,2,3
